,state,x,y
0,Ladakh,-139.0,368.0
1,Jammu And Kashmir,-209.0,358.0
2,Himachal Pradesh,-144.0,302.0
3,Punjab,-196.0,265.0
4,Uttarakhand,-88.0,244.0
5,Haryana,-172.0,216.0
6,New Delhi,-149.0,202.0
7,Uttar Pradesh,-93.0,161.0
8,Rajasthan,-240.0,145.0
9,Madhya Pradesh,-125.0,33.0
10,Gujrat,-304.0,31.0
11,Maharashtra,-202.0,-71.0
12,Telangana,-104.0,-116.0
13,Goa,-237.0,-189.0
14,Karnataka,-195.0,-210.0
15,Andhra Pradesh,-99.0,-197.0
16,Kerala,-173.0,-328.0
17,Tamil Nadu,-118.0,-310.0
18,Andaman And Nicobar Islands,288.0,-263.0
19,Lakshadweep,-292.0,-317.0
20,Chattisgarh,-30.0,-21.0
21,Odisha,46.0,-39.0
22,Bihar,78.0,117.0
23,Jharkhand,62.0,50.0
24,West Bengal,138.0,37.0
25,Sikkim,152.0,168.0
26,Assam,272.0,135.0
27,Meghalaya,232.0,115.0
28,Arunachal Pradesh,312.0,203.0
29,Nagaland,317.0,137.0
30,Manipur,306.0,89.0
31,Mizoram,275.0,51.0
32,Tripura,243.0,63.0
33,Thiruvananthapuram,-160.0,-385.0
34,Puducherry,-82.0,-291.0
35,Daman and Diu,-270.0,-21.0